0,1,2,3,4,5,6,7
30,"$4,350/mo",4 beds,2 baths,"2,342  sqft","6563 Williamsburg Blvd, Arlington, VA 22213",(703) 964-1290,https://www.redfin.com/VA/Arlington/6563-Williamsburg-Blvd-22213/home/11224677
31,"$3,950/mo",4 beds,3 baths,"1,838  sqft","5124 23rd Rd N, Arlington, VA 22207",(703) 525-1900,https://www.redfin.com/VA/Arlington/5124-23rd-Rd-N-22207/home/11228281
32,"$4,960/mo",3 beds,2 baths,"1,526  sqft","Io Piazza By Windsor | 2727 S Quincy St, Arlington, VA 22206",(571) 348-9465,https://www.redfin.com/VA/Arlington/Io-Piazza-By-Windsor/apartment/11279949
33,"$4,200/mo",3 beds,3 baths,"1,957  sqft","4942 34th Rd N, Arlington, VA 22207",(703) 378-8810,https://www.redfin.com/VA/Arlington/4942-34th-Rd-N-22207/home/11229046
34,"$3,930/mo",3 beds,3.5 baths,"1,667  sqft","2041 N Glebe Rd, Arlington, VA 22207",(703) 971-5000,https://www.redfin.com/VA/Arlington/2041-N-Glebe-Rd-22207/home/11234845
35,"$3,800/mo",3 beds,3.5 baths,"2,000  sqft","2025 N Glebe Rd, Arlington, VA 22207",(703) 228-9007,https://www.redfin.com/VA/Arlington/2025-N-Glebe-Rd-22207/home/11234852
36,"$3,050/mo",4 beds,3 baths,"1,980  sqft","1724 S Oakland St, Arlington, VA 22204",(703) 436-6964,https://www.redfin.com/VA/Arlington/1724-S-Oakland-St-22204/home/11263916
37,"$4,800/mo",4 beds,4.5 baths,"2,878  sqft","2313 N Van Buren Ct, Arlington, VA 22205",(703) 224-6000,https://www.redfin.com/VA/Arlington/2313-N-Van-Buren-Ct-22205/home/11239225
38,"$3,500/mo",3 beds,2 baths,"1,500  sqft","924 N Liberty St, Arlington, VA 22205",(703) 471-7220,https://www.redfin.com/VA/Arlington/924-N-Liberty-St-22205/home/11241041
39,"$3,990/mo",4 beds,3 baths,"1,620  sqft","27 N Bedford St, Arlington, VA 22201",(703) 349-0144,https://www.redfin.com/VA/Arlington/27-N-Bedford-St-22201/home/11255885
40,"$3,800/mo",3 beds,2.5 baths,"2,409  sqft","4093 Sutherland Pl, Fairfax, VA 22030",(703) 634-5450,https://www.redfin.com/VA/Fairfax/4093-Sutherland-Pl-22030/home/17120658
41,"$4,960/mo",3 beds,2 baths,"1,526  sqft","Io Piazza By Windsor | 2727 S Quincy St, Arlington, VA 22206",(571) 348-9465,https://www.redfin.com/VA/Arlington/Io-Piazza-By-Windsor/apartment/11279949
42,"$4,795/mo",4 beds,3.5 baths,"3,684  sqft","3514 Cobb Dr, Fairfax, VA 22030",(703) 519-0951,https://www.redfin.com/VA/Fairfax/3514-Cobb-Dr-22030/home/12024305
43,"$4,500/mo",4 beds,3 baths,"3,055  sqft","10506 Norman Ave, Fairfax, VA 22030",(703) 971-5000,https://www.redfin.com/VA/Fairfax/10506-Norman-Ave-22030/home/12024593
44,"$3,300/mo",3 beds,3 baths,"2,214  sqft","11005 Fairchester Dr, Fairfax, VA 22030",(703) 642-5683,https://www.redfin.com/VA/Fairfax/11005-Fairchester-Dr-22030/home/12026323
45,"$3,400/mo",3 beds,2.5 baths,"1,638  sqft","3809 Keith Ave, Fairfax, VA 22030",(703) 378-8810,https://www.redfin.com/VA/Fairfax/3809-Keith-Ave-22030/home/12026511
46,"$3,500/mo",4 beds,2.5 baths,"1,887  sqft","10626 Ashby Pl, Fairfax, VA 22030",(703) 533-8660,https://www.redfin.com/VA/Fairfax/10626-Ashby-Pl-22030/home/12028272
47,"$3,197/mo",4 beds,2 baths,"1,666  sqft","10727 Maple St, Fairfax, VA 22030",(703) 378-8810,https://www.redfin.com/VA/Fairfax/10727-Maple-St-22030/home/12028310
48,"$4,500/mo",4 beds,3.5 baths,"3,664  sqft","4100 John Trammell Ct, Fairfax, VA 22030",(703) 815-5700,https://www.redfin.com/VA/Fairfax/4100-John-Trammell-Ct-22030/home/12029494
49,"$3,600/mo",3 beds,2.5 baths,"2,767  sqft","10502 James Wren Way, Fairfax, VA 22030",(571) 565-4849,https://www.redfin.com/VA/Fairfax/10502-James-Wren-Way-22030/home/12029726
50,"$3,000/mo",3 beds,2.5 baths,"2,310  sqft","3870 Bradwater St, Fairfax, VA 22031",(703) 891-8500,https://www.redfin.com/VA/Fairfax/3870-Bradwater-St-22031/home/12030780
51,"$3,800/mo",3 beds,2.5 baths,"2,409  sqft","4093 Sutherland Pl, Fairfax, VA 22030",(703) 634-5450,https://www.redfin.com/VA/Fairfax/4093-Sutherland-Pl-22030/home/17120658
52,"$4,000/mo",3 beds,2.5 baths,"2,632  sqft","4043 Columbia Pike, Arlington, VA 22204",(703) 636-7300,https://www.redfin.com/VA/Arlington/4043-Columbia-Pike-22204/home/18969225
53,"$3,300/mo",3 beds,2.5 baths,"1,848  sqft","3548 S George Mason Dr, Alexandria, VA 22302",(703) 385-3600,https://www.redfin.com/VA/Alexandria/3548-S-George-Mason-Dr-22302/home/22047772
54,"$3,200/mo",3 beds,2.5 baths,"2,188  sqft","4490 Beacon Grove Cir, Fairfax, VA 22033",(703) 564-4000,https://www.redfin.com/VA/Fairfax/4490-Beacon-Grove-Cir-22033/home/28551097
55,"$5,000/mo",4 beds,4.5 baths,"2,552  sqft","3400 11th St S, Arlington, VA 22204",(703) 449-7629,https://www.redfin.com/VA/Arlington/3400-11th-St-S-22204/home/95454797
56,"$4,200/mo",3 beds,3.5 baths,"1,800  sqft","9319 Lemon Mint Ct, Fairfax, VA 22031",(703) 854-1285,https://www.redfin.com/VA/Fairfax/9319-Lemon-Mint-Ct-22031/home/109701857
57,"$4,100/mo",3 beds,3.5 baths,"1,944  sqft","3068 Wild Blue Indigo Ct, Fairfax, VA 22031",(703) 281-8500,https://www.redfin.com/VA/Fairfax/3068-Wild-Blue-Indigo-Ct-22031/home/167748771
58,"$4,950/mo",4 beds,3.5 baths,"2,744  sqft","3060 Wild Blue Indigo Ct, Fairfax, VA 22031",(703) 636-7300,https://www.redfin.com/VA/Fairfax/3060-Wild-Blue-Indigo-Ct-22031/home/167748775
59,"$4,200/mo",5 beds,4 baths,"3,640  sqft","7021 Westbury Rd, Mc Lean, VA 22101",(571) 278-3678,https://www.redfin.com/VA/Mc-Lean/7021-Westbury-Rd-22101/home/9397712
60,"$4,000/mo",3 beds,3.5 baths,"1,974  sqft","12514 League Ln, Fairfax, VA 22033",(301) 523-8008,https://www.redfin.com/VA/Fairfax/12514-League-Ln-22033/home/180451442
